producttype,productvariant,Scenario 1,Scenario 2,Scenario 3,No of scenarios
LIGNA,LIGNA Wood-based panels for raised floor,Refurbishment for reuse,Incineration,   ,2
LIGNA,Ligna B 28 Wood-based panels for raised floor,Refurbishment for reuse,Incineration,,2
LIGNA ST,Ligna B 28 ST Wood-based panels for raised floor,Refurbishment for reuse,Incineration,,2
LIGNA ST ST,Ligna B 28 ST ST Wood-based panels for raised floor,Refurbishment for reuse,Incineration,,2
LIGNA,Ligna B 30 Wood-based panels for raised floor,Refurbishment for reuse,Incineration,,2
LIGNA ST,Ligna B 30 ST Wood-based panels for raised floor,Refurbishment for reuse,Incineration,,2
LIGNA ST,Ligna B 30 ST ST Wood-based panels for raised floor,Refurbishment for reuse,Incineration,,2
LIGNA,Ligna K1 38 Wood-based panels for raised floor,Refurbishment for reuse,Incineration,,2
LIGNA ST,Ligna K1 38 ST Wood-based panels for raised floor,Refurbishment for reuse,Incineration,,2
LIGNA ST ST,Ligna K1 38 ST ST Wood-based panels for raised floor,Refurbishment for reuse,Incineration,,2
LIGNA,Ligna L 38 Wood-based panels for raised floor,Refurbishment for reuse,Incineration,,2
LIGNA ST,Ligna L 38 ST Wood-based panels for raised floor,Refurbishment for reuse,Incineration,,2
LIGNA ST ST,Ligna L 38 ST ST Wood-based panels for raised floor,Refurbishment for reuse,Incineration,,2
LIGNA,Ligna S 38 Wood-based panels for raised floor,Refurbishment for reuse,Incineration,,2
LIGNA ST,Ligna S 38 ST Wood-based panels for raised floor,Refurbishment for reuse,Incineration,,2
LIGNA ST ST,Ligna S 38 ST ST Wood-based panels for raised floor,Refurbishment for reuse,Incineration,,2
LIGNA,Ligna M 38 Wood-based panels for raised floor,Refurbishment for reuse,Incineration,,2
LIGNA ST,Ligna M 38 ST Wood-based panels for raised floor,Refurbishment for reuse,Incineration,,2
LIGNA ST ST,Ligna M 38 ST ST Wood-based panels for raised floor,Refurbishment for reuse,Incineration,,2
LIGNA,Provisorium 38 Wood-based panels for raised floor,Refurbishment for reuse,Incineration,,2
FLOOR and more®,FLOOR and more® hollow floor,Landfilling,Shredding for Recycling,Refurbishment for reuse,3
FLOOR and more®,FLOOR and more® G30,Landfilling,Shredding for Recycling,Refurbishment for reuse,3
FLOOR and more®,FLOOR and more® G30 Vario,Landfilling,Shredding for Recycling,Refurbishment for reuse,3
FLOOR and more®,FLOOR and more® G34,Landfilling,Shredding for Recycling,Refurbishment for reuse,3
FLOOR and more®,FLOOR and more® G34 Vario,Landfilling,Shredding for Recycling,Refurbishment for reuse,3
FLOOR and more®,FLOOR and more® Sofo. o.OBlg.,Landfilling,Shredding for Recycling,Refurbishment for reuse,3
FLOOR and more®,FLOOR and more® G40,Landfilling,Shredding for Recycling,Refurbishment for reuse,3
FLOOR and more®,FLOOR and more® G40 Vario,Landfilling,Shredding for Recycling,Refurbishment for reuse,3
FLOOR and more®,FLOOR and more® G40 (FST AT),Landfilling,Shredding for Recycling,Refurbishment for reuse,3
LOOP,Refurbished Raised floor panel Lindner LOOP prime and LOOP aurum,Refurbishment for reuse,Landfill,Shredding for recycling,3
LOOP,LOOP prime R32,Refurbishment for reuse,Landfill,Shredding for recycling,3
LOOP,LOOP aurum R32,Refurbishment for reuse,Landfill,Shredding for recycling,3
LOOP,LOOP prime R33,Refurbishment for reuse,Landfill,Shredding for recycling,3
LOOP,LOOP aurum R33,Refurbishment for reuse,Landfill,Shredding for recycling,3
LOOP,LOOP prime R34,Refurbishment for reuse,Landfill,Shredding for recycling,3
LOOP,LOOP aurum R34,Refurbishment for reuse,Landfill,Shredding for recycling,3
LOOP,LOOP prime R35,Refurbishment for reuse,Landfill,Shredding for recycling,3
LOOP,LOOP aurum R35,Refurbishment for reuse,Landfill,Shredding for recycling,3
LOOP,LOOP prime R36,Refurbishment for reuse,Landfill,Shredding for recycling,3
LOOP,LOOP aurum R36,Refurbishment for reuse,Landfill,Shredding for recycling,3
LOOP,LOOP prime R37,Refurbishment for reuse,Landfill,Shredding for recycling,3
LOOP,LOOP aurum R37,Refurbishment for reuse,Landfill,Shredding for recycling,3
LOOP,LOOP prime R38,Refurbishment for reuse,Landfill,Shredding for recycling,3
LOOP,LOOP aurum R38,Refurbishment for reuse,Landfill,Shredding for recycling,3
LOOP,LOOP prime R39,Refurbishment for reuse,Landfill,Shredding for recycling,3
LOOP,LOOP aurum R39,Refurbishment for reuse,Landfill,Shredding for recycling,3
NORTEC,"Raised Floor System,Type NORTEC L28",Reuse,Landfill,Shredding for recycling,3
NORTEC,"Raised Floor System, Type NORTEC L30 & NORTEC aurum L30 & NORTEC L30 AL",Reuse,Landfill,Shredding for recycling,3
NORTEC,"Raised Floor System, Type NORTEC L34 & NORTEC aurum L34",Reuse,Landfill,Shredding for recycling,3
NORTEC,"Raised Floor System, Type NORTEC L36",Reuse,Landfill,Shredding for recycling,3
NORTEC,"Raised Floor System, Type NORTEC L38 & NORTEC LP38 & NORTEC aurum L38",Reuse,Landfill,Shredding for recycling,2
NORTEC,"Raised Floor System, Type NORTEC L40",Reuse,Landfill,Shredding for recycling,3
NORTEC,"Raised Floor System, Type NORTEC L42",Reuse,Landfill,Shredding for recycling,3
NORTEC,"Raised Floor System, Type NORTEC L44",Reuse,Landfill,Shredding for recycling,3
NORTEC,"Raised Floor System, Type NORTEC L38 ST & NORTEC LP38 ST",Reuse,Landfill,,2
NORTEC,"Raised Floor System, Type NORTEC G30 ST",Reuse,Landfill,,2
NORTEC,"Raised Floor System, Type NORTEC G34 ST",Reuse,Landfill,,2
NORTEC,"Raised Floor System, Type NORTEC G38 ST",Reuse,Landfill,,2
NORTEC,"Raised Floor System, Type NORTEC U30 ST ST",Reuse,Landfill,   ,2
NORTEC,"Raised Floor System, Type NORTEC U36 ST",Reuse,Landfill,   ,2
NORTEC,"Raised Floor System, Type NORTEC power YP44 ST",Reuse,Landfill,   ,2
NORIT,NORIT-TE 20,Landfilling,Shredding for Recycling,Refurbishment for reuse,3
NORIT,NORIT-TE 25,Landfilling,Shredding for Recycling,Refurbishment for reuse,3
NORIT,NORIT High Deck 18,Landfilling,Shredding for Recycling,Refurbishment for reuse,3
NORIT,NORIT Screed board,Landfilling,Shredding for Recycling,Refurbishment for reuse,3
NORIT,NORIT Screed board ,Landfilling,Shredding for Recycling,Refurbishment for reuse,3
NORIT,NORIT TE 25 ,Landfilling,Shredding for Recycling,Refurbishment for reuse,3
NORIT,NORIT  N+F,Landfilling,Shredding for Recycling,Refurbishment for reuse,3
ADDLIFE,Refurbished Hollow floor panel Lindner ADDLIFE (Representative Product),Reuse,,,
RELIFE,Refurbished Hollow floor panel Lindner RELIFE (Representative Product),Reuse,,,
RELIFE ST,Refurbished Hollow floor panel Lindner RELIFE (Representative Product),Reuse,,,
